review_id,duration,spectral_centroid,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1,4.68,1700.2083088101936,0.12079480229591837,-330.1655,65.45727,15.372064,10.613634,-8.975031,-0.24311756,-5.604623,-8.381183,-9.572321,-5.785611,-7.861252,-9.584683,-1.2653427
2,4.872,1518.918222502418,0.10278160743464053,-333.89062,85.435745,2.996424,3.0533853,-13.948396,4.204701,-8.9495,-8.984756,-5.179672,-5.1140184,-8.59322,-9.545672,-0.6651377
3,4.992,1604.2458975128393,0.11090515525477707,-329.23532,79.19632,2.0840392,9.263194,-13.948682,2.3423266,-5.3701196,-6.995936,-7.6518726,-6.468476,-6.775676,-8.80748,-2.6795511
4,5.376,1585.3407202834221,0.1150119036612426,-325.03333,77.45753,8.083761,9.870769,-12.352051,2.267251,-9.852403,-7.0560727,-9.958039,-8.503837,-6.2479205,-7.903671,1.1361432
5,4.584,1733.2672399418457,0.131591796875,-320.11014,72.95695,-0.33813062,-1.7390404,-15.024792,4.9679065,-5.2781243,-8.348552,-4.4987407,-4.0882344,-8.21307,-6.3112307,-3.2919888
6,9.528,1605.3483005361145,0.12735128722734898,-315.2686,75.89352,10.018279,19.672026,-7.185845,-2.5181918,-12.292729,-10.127108,-14.726004,-7.7638736,-7.3557,-9.120101,1.3904239
7,10.152,1800.1306183750955,0.13828186419025157,-311.32352,69.695,12.760267,16.047968,-10.877502,-0.96961004,-11.2699795,-7.99279,-11.443278,-8.820986,-7.393081,-7.0902166,0.69747865
8,8.688,1668.3466299381562,0.11969353170955882,-311.4219,73.61577,3.6618474,17.455282,-11.647112,0.5535801,-12.004156,-7.808608,-11.537211,-8.262528,-7.022007,-9.280963,-0.6629207
9,9.816,1843.1815874756721,0.14919139352605862,-300.2046,67.08072,12.275309,15.81243,-8.70142,-3.9404404,-11.171729,-7.5278845,-13.340178,-8.879645,-7.3853254,-8.168804,-1.8230422
10,10.056,1823.422191148534,0.15628565228174604,-308.65906,62.870033,12.373954,13.642187,-7.0537148,-4.269194,-11.327414,-9.770473,-13.410158,-7.904929,-7.02227,-7.7680492,-0.3419636
